&	u.
'Phags-pa	Phagpa-Schrift
's-Hertogenbosch	Herzogenbusch
'sblood	Huch
-'s	-s
-ability	-barkeit
-able	-bar
-able	-wert
-adic	-adisch
-aemia	-ämie
-age	-ung
-aire	-är
-algia	-algie
-amine	-amin
-an	-isch
-ane	-an
-archy	-archie
-ary	-är
-ate	-ieren
-ation	-ation
-biont	-biont
-caine	-cain
-centric	-zentrisch
-centrism	-zentrismus
-cide	Mörder
-cide	Mord
-cracy	-kratie
-crat	-krat
-cratic	-kratisch
-cyte	-zyt
-diene	-dien
-ectomy	Entfernung
-ee	ge-
-ence	-enz
-ene	-en
-er	-er
-ese	-isch
-esque	-esk
-ess	-in
-est	-st
-est	-ster
-etic	-etisch
-fold	-fach
-free	-frei
-ful	-voll
-gate	-gate
-gen	-gen
-genic	-gen
-gon	-eck
-gram	-gramm
-graph	-graph
-graphy	-graphie
-hedron	-eder
-hood	-heit
-hood	-schaft
-hour-old	-stündig
-ian	-isch
-iatry	-iatrie
-ible	-bar
-ic	-isch
-ics	-ik
-ide	-id
-ide	-oid
-ie	-chen
-ification	-ifikation
-ify	-fizieren
-in-law	schwieger-
-ine	-in
-ing	zu
-ing	-end
-ing	-ung
-ish	-lich
-ish	um ... herum
-ish	-isch
-ish	-haft
-ism	-ismus
-ist	-ist
-ite	-it
-itis	-itis
-itude	-tude
-ity	-ität
-ive	-iv
-ization	-isierung
-ize	-ieren
-land	-land
-less	-los
-like	-artig
-ling	-chen
-lite	-lith
-logical	-logisch
-logist	-loge
-logy	-kunde
-logy	-teiler
-ly	-lich
-ly	-erweise
-mancy	-mantie
-mania	-manie
-ment	-ung
-meter	-meter
-metry	-metrie
-morph	-morph
-ness	-nis
-nomy	-nomie
-nym	-nym
-ol	-ol
-ologist	-ologe
-ology	-ologie
-on	-on
-one	-on
-onym	-onym
-onymy	-onymie
-osis	-ose
-otic	-otisch
-ous	-haft
-pathic	-pathisch
-pedia	-pädie
-penia	-penie
-philia	-philie
-phobe	-fob
-phobia	-phobie
-phobic	-phob
-phoresis	-phorese
-plasty	-plastik
-proof	-fest
-s	-e
-saur	-saurier
-scope	-skop
-scopy	-skopie
-ship	-schaft
-stan	-stan
-teen	zehn
-th	-te
-tion	-ung
-ty	zig
-um	-um
-ure	-ur
-ward	-wärts
-wards	-wärts
-wise	-mäßig
-worthy	-wert
-y	-heit
-y	-chen
-y	-ig
-yl	-yl
-yne	-in
-zygous	-zygot
0th	0.
1-up	1-Up
1000th	1000.
100th	100.
101	Einführung
10th	10.
11th	11.
12th	12.
13th	13.
14th	14.
15th	15.
16th	16.
17th	17.
18th	18.
1910s	1910er Jahre
1992	neunzehnhundertzweiundneunzig
19th	19.
1st	1.
20th	20.
21st	21.
22nd	22.
23rd	23.
24/7	immerzu
24th	24.
25th	25.
2CV	Ente
2nd	2.
30th	30.
3D	3D
3rd	3.
4/4	Viervierteltakt
40th	40.
4th	4.
5-hydroxytryptamine	5-Hydroxytryptamin
50th	50.
52100	1.3505
5th	5.
60th	60.
6th	6.
70th	70.
7th	7.
80th	80.
8th	8.
9/11	11. September
90th	90.
9th	9.
@	à
A	A
a-	a-
A-bomb	A-Bombe
A-flat	As
A-minor	a-Moll
A-Pucikwar	A Pucikwar
a-schwa	a-Schwa
A-sharp	Ais
a.e.t.	n.V.
a.m.	morgens
aa	Aa-Lava
AA	AA
Aabenraa	Apenrade
Aachen	Aachen
Aalborg	Aalborg
Aalst	Aalst
Aar	Aare
Aarau	Aarau
aardvark	Erdferkel
aardwolf	Erdwolf
Aargau	Aargau
Aarhus	Aarhus
Aaron	Aaron
Aaronic	aaronitisch
ab	Bauchmuskeln
aba	Großnilhecht
abaca	Abaka
abacist	Abakist
aback	rückwärts
aback	hinten
abacus	Abakus
abacus	Kapitelldeckplatte
Abaddon	Abaddon
abaft	achteraus
abaft	achtern
abalienation	Abalienation
abalone	Abalone
abandon	Hingabe
abandon	verbannen
abandon	aufgeben
abandoned	verlassen
abandonment	Überlassen
