-'s	của
-ation	hoá
-elect	tân cử
-er	hơn
-est	nhất
-fold	gấp
-fold	lần
-fold	gấp ... lần
-gon	giác
-hood	thời
-hood	tuổi
-ification	hoá
-ify	hoá
-ism	chủ nghĩa
-ization	hoá
-ize	hoá
-land	nước
-land	Lan
-less	cây đinh không
-logy	học
-ness	sự
-ness	nỗi
-ness	niềm
-ology	học
-ology	nghiên cứu
-pedia	-pedia
-s	những
-s	các
-s	mấy
-ship	mối
-th	thứ
-ty	mươi
101	nhập môn
24/7	24/7
610 Office	phòng
a bird in the hand is worth two in the bush	một con chim trong tay có giá trị hơn hai con trong bụi cây
a few	một vài
a journey of a thousand miles begins with a single step	hành trình ngàn dặm bắt đầu từ một bước đi
a leopard cannot change its spots	ngựa quen đường cũ
a leopard cannot change its spots	giang sơn dễ đổi
a leopard cannot change its spots	bản tính khó dời
a little	một ít
a little	ít
a little	một chút
a little	hơi
a lot	nhiều
a lot	lắm
a picture is worth a thousand words	trăm nghe không bằng mắt thấy
a posteriori	hậu nghiệm
a priori	tiên nghiệm
a	a
A-bomb	bom nguyên tử
aardwolf	chó sói đất
ab	múi
ab	múi cơ
ab	cơ bụng
aback	đằng sau
aback	lùi lại
aback	trở lại
aback	về
abacus	bàn tính
abacus	đầu cột
abacus	đỉnh cột
Abaddon	địa ngục
Abaddon	âm phủ
Abaddon	âm ti
Abaddon	con quỷ
abalone	bào ngư
abandon	xua đuổi
abandon	bỏ
abandon	từ bỏ
abandon	bộm
abandon	bỏ rơi
abandon	ruồng bỏ
abandoned	phóng đãng
abandoned	truỵ lạc
abandoned	trụy lạc
abate	nhụt
abate	huỷ bỏ
abate	hủy bỏ
abate	làm mất hết
abate	thanh toán
abate	thủ tiêu
abate	đi
abate	ram
abate	đỡ
abate	bớt
abate	ngớt
abattoir	lò mổ
abattoir	lò sát sinh
abbacy	chức vị trưởng tu viện
abbacy	quyền hạn trưởng tu viện
abbacy	chức vị viện chủ tu viện
abbacy	quyền hạn viện chủ tu viện
abbatial	trưởng tu viện
abbatial	viện chủ tu viện
abbey	tu viện
abbey	nhà tu
abbot	trụ trì
abbreviate	tương đối ngắn
abbreviate	ước lược
abbreviate	rút gọn
abbreviation	bài tóm tắt
abbreviation	tóm
abbreviation	sự tóm
abbreviation	sự rút ngắn
abbreviation	ước
abbreviation	sự ước
abbreviation	sự rút gọn
abbreviation	viết tắt
abdicate	từ bỏ
abdicate	bỏ
abdicate	thoái vị
abdicate	từ ngôi
abdomen	bụng
abdomen	bụng dạ
abduct	bắt cóc
abduct	cuỗm đi
abduct	lừa đem đi
abduct	rẽ ra
abduct	giạng ra
abduction	bắt cóc
Abdullah	Abdullah
Abel	A-bên
aberrant	khác thường
aberrant	lầm lạc
aberration	tính sai
aberration	quang sai
abet	xúi bẩy
abet	xúi giục
abet	khích
abet	tiếp tay
Abhidharma	A-tì-đạt-ma
abhor	ghét cay ghét đắng
abide	chịu
abide	chịu được
abide	ở
abide	ngụ
abide	chịu đựng
abide	chống đỡ được
abide	chờ
abide	chờ đợi
ability	năng lực
abiogenesis	sự phát sinh tự nhiên
Abkhazia	Abkhazia
abomasum	dạ túi khế
abomasum	dạ múi khế
abominate	căm ghét
aboriginal	thổ dân
abort	sẩy thai
abort	phá thai
abortion	phá thai
about to	sắp
about	khoảng
about	chừng
about	cỡ
about	độ
about	sắp
about	về
above	trên
abracadabra	úm ba la xì bùa
abrasion	sự bào mòn
abrasion	chỗ bị trầy
abscess	áp-xe
abscissa	hoành độ
absent	vắng mặt
absent	lơ đãng
absolute temperature	nhiệt độ tuyệt đối
absolute zero	nhiệt độ không tuyệt đối
absolute zero	độ không tuyệt đối
absolute zero	không độ tuyệt đối
absolute zero	0 tuyệt đối
absorb	hấp thu
absorb	hấp thụ
absorb	hút
abstract	trừu tượng
abstruse	huyền diệu
absurd	hoang đường
Abu Dhabi	A-bu Đa-bi
Abuja	A-bu-gia
abundance	phong phú
abundant	dồi dào
abuse	bạo hành
abuse	lạm dụng
academic	học thuật
academician	viện sĩ
academy	viện hàn lâm
academy	học viện
acathistus	akathist
accede	nhậm chức
accelerate	tăng tốc
acceleration	gia tốc
accelerationism	chủ nghĩa tăng tốc
accent	giọng
accent	tiếng
accent	khẩu âm
accent	trọng âm
accent	dấu
accept	nhận vào
accept	nhận
accept	chấp nhận
accept	chịu
accept	đảm nhận
accept	thừa nhận
access token	mã truy cập
access token	thẻ truy cập
accessibility	trợ năng
accessibility	tiếp
accessibility	tính tiếp
accessibility	khả năng tiếp cận
accessory	phụ kiện đính kèm
accident	sự cố
accident	tai nạn
accidentally	ngẫu nhiên
accommodation	phòng ở
accommodation	chỗ ở
accommodation	nhá ở
accomplice	người đồng lõa
according as	tuỳ theo
according to	theo
according to	theo như
according to	tùy
according to	tùy theo
accordion	phong cầm
accordion	đàn xếp
accoucheur	người đỡ đẻ
account	tài khoản
account	chuyện kể
accountant	kế toán
accounting	kế toán
Accra	A-cra
accumulator	bình điện
accurate	chính xác
accurate	đúng đắn
accurate	xác đáng
accusation	buộc tội
accusative	đối cách
ace of clubs	át nhép
ace of diamonds	át rô
ace of hearts	át cơ
ace of spades	át bích
acerbic	chát
acetic acid	axit axetic
acetone	a-xê-tôn
ache	đau
ache	đau đớn
ache	nhức
Achilles tendon	gân gót chân
Achilles tendon	gân Achilles
Achilles tendon	gân A-sin
Achilles	A-sin
achoo	hắt xì
acid rain	mưa axit
acid	axit
acid	axít
acidosis	nhiễm toan
acolyte	chú giúp lễ
acorn	hạt sồi
acoustics	âm học
acquaintance	người quen
acquire	thu được
acquire	đạt được
acquire	giành được
acquire	kiếm được
acquired immune deficiency syndrome	hội chứng suy giảm miễn dịch mắc phải
acquired immune deficiency syndrome	liệt kháng
acre	mẫu Anh
acre	mẫu tây
acrid	chát
actinic keratosis	dày sừng ánh sáng
actinium	actini
actinobacterium	xạ khuẩn
action movie	phim đánh đấm
action movie	phim bắn giết
action	hành động
action	động tác
actions speak louder than words	thùng rỗng kêu to
activated carbon	than hoạt tính
activation	kích hoạt
active participle	phân từ chủ động
active	chủ động
activist	phần tử tích cực
activities of daily living	sinh hoạt hàng ngày
activity	hoạt động
actor	diễn viên
actor	nữ diễn viên
actress	nữ diễn viên
Acts of the Apostles	Công vụ Tông đồ
Acts of the Apostles	Công vụ các Sứ đồ
actual	thật
actual	thật sự
actual	thực tế
actual	có thật
actual	hiện tại
actual	hiện thời
actual	hiện nay
actual	đúng thời
actually	thực ra
actually	thật ra
actually	thực sự là
acupuncture	châm cứu
acute accent	dấu sắc
acute angle	góc nhọn
acute	sắc
ad hoc	đặc ứng
ad infinitum	vô cùng
Adah	A-đa
Adam and Eve	Adam và Eve
Adam	A-đam
adapt	thích nghi
add fuel to the fire	đổ dầu vào lửa
add fuel to the fire	đổ thêm dầu vào lửa
add fuel to the fire	thêm dầu vào lửa
add insult to injury	đổ thêm dầu vào lửa
add insult to injury	xát muối vào vết thương
add	nói
add	thêm
add	nói thêm
add	thêm thắt
add	cộng
add-on	phần mở rộng
addict	người nghiện
Addis Ababa	A-đi A-bê-ba
addition	phép cộng
additionally	ngoài ra
address book	sổ địa chỉ
address book	danh bạ
address book	tập tin danh bạ
address	địa chỉ
address	chuyên chú
address	theo đòi
adenohypophysis	thùy trước tuyến yên
adenosine triphosphate	a-đê-nô-xin tri-phốt-phát
adenosine	a-đê-nô-xin
adequate	đủ
adequate	đầy đủ
adhesive tape	băng dính
adhesive tape	băng dán
adhesive tape	băng keo
adjacency matrix	ma trận kề
adjacent	liền
adjacent	bên cạnh
adjacent	nối
adjectival	có tính chất tính từ
adjective	tính từ
adjective	hình dung từ
adjust	điều chỉnh
adjustable spanner	mỏ lết
adjustment	sự điều chỉnh
administration	quản lý
administration	hành chính
administrator	quản trị viên
administrator	nhà quản trị
admirably	đáng ngưỡng mộ
admiral	đô đốc
admiration	sự khâm phục
admire	khâm phục
admit	nhập viện
admit	thừa nhận
adobe	gạch sống
adolescence	thanh thiếu niên
adolescence	tuổi thần tiên
adolescence	tuổi ô mai
adolescence	tuổi teen
Adolph	A-đôn-phơ
adopt	nhận làm con nuôi
adrenal gland	tuyến thượng thận
Adrian	Ađrianô
Adrian	Hađrianô
Adriatic Sea	biển Adriatic
adsorb	hấp phụ
adsorption	hấp phụ
adult movie	phim khiêu dâm
adult	trưởng thành
adult	người lớn
adultery	ngoại tình
advantage	lợi thế
Advent	Mùa Vọng
adventure	mạo hiểm
adventure	phiêu lưu
adventurism	chủ nghĩa mạo hiểm
adverb	trạng từ
adverb	phó từ
adversary	đối thủ
adverse effect	tác dụng có hại
advertisement	quảng cáo
advertising	quảng cáo
advice	lời khuyên
advise	khuyên bảo
advise	khuyến cáo
Aegean Sea	biển Aegea
aerial photography	không ảnh
aerial photography	hình
aerial photography	từ
aerial photography	không trung
aerial photography	ảnh
aerial photography	hình chụp
aerial photography	trên không
aerial photography	ảnh chụp
aerial photography	chụp hình
aerial photography	trên
aerial photography	chụp ảnh
aerial	ăng-ten
aerial	ăngten
aerial	ăng ten
aerial	dây trời
aerodrome	sân bay
aerodrome	trường bay
aerodynamics	khí động lực học
aerosol	bình phun
aesthetics	mỹ học
affix	phụ tố
Afghan	Áp-ga-ni-xtan
Afghan	người Áp-ga-ni-xtan
Afghanistan	Áp-ga-ni-xtan
Afghanistan	A Phú Hãn
afraid	đáng sợ
Africa	Châu Phi
Africa	Phi Châu
Africa	Phi
African hunting dog	chó hoang châu Phi
African	Châu Phi
African	Phi Châu
African	người châu Phi
African	người Phi châu
Africanize	Phi hóa
Africanize	châu Phi hóa
Africanize	Phi châu hóa
Afrikaans	Afrikaans
Afrikaans	tiếng Afrikaans
Afrikaans	tiếng Hà Lan ở Kếp
Afrikaans	tiếng Nam Phi
after	sau
afterimage	dư ảnh
afterlife	kiếp sau
afterlife	thế giới bên kia
afternoon	buổi chiều
afternoon	chiều
afterpain	đau hậu sản
aftersale	hậu mãi
aftershock	dư chấn
aftertaste	dư vị
afterwards	sau này
afterwards	sau đó
afterwards	về sau
again	lại
against	với
against	chống lại
agar	thạch
agar	a-ga
agar	xu xoa
agar	xu xa
agar	su sa
agar	rau câu
agar	đông sương
agarwood	trầm hương
agate	mã não
agave	chi thùa
age	tuổi
age	trạc tuổi
age	lứa tuổi
ageism	phân biệt tuổi tác
agency	cơ quan
agenda	nghị trình
agenda	chương trình nghị sự
Agent Orange	chất độc da cam
agent	người đại lý
agglutinative	chắp dính
aggregate	uẩn
aggression	xâm lược
aggressive	xâm lược
aggressor	kẻ xâm lược
aghast	kinh hãi
agile	nhanh nhẹn
agility	nhanh nhẹn
aging	lão hoá
Agnes	Anê
agnosticism	thuyết bất khả tri
ago	trước đây
agree	đồng ý
agree	ăn khớp
agreement	hợp
agreement	hiệp định
agreement	hợp đồng
agreement	đồng ý
agriculture	nông nghiệp
agroforestry	nông lâm
agronomist	nhà nông học
agronomy	nông học
ah	à
ahem	e hèm
AIDS	AIDS
AIDS	SIĐA
AIDS	SIDA
aiglet	aglet
ailanthus	thanh thất
aim	ngắm
aim	nhắm
Ainu	tiếng Ai Nô
Ainu	tiếng Ainu
air bed	nệm hơi
air conditioner	điều hoà
air conditioner	điều hoà nhiệt độ
air conditioner	máy điều hoà nhiệt độ
air conditioner	máy lạnh
air conditioning	điều hoà
air conditioning	điều hoà không khí
air force	không quân
air gun	súng hơi
air resistance	lực cản không khí
air supremacy	kiểm soát trên không
air ticket	vé máy ba
air	khí
air	không khí
airbreathing catfish	cá trê
aircraft carrier	tàu sân bay
aircraft carrier	hàng không mẫu hạm
aircraft	phi cơ
aircraft	máy bay
airfield	sân bay
airfield	trường bay
airline	công ty hàng không
airline	hàng không
airline	hãng hàng không
airliner	máy bay dân dụng
airliner	máy bay chở khách
airplane	máy bay
airplane	phi cơ
airport	sân bay
airport	phi trường
